| feature | prefijo | LOC | refs FE | dónde (FE) | x-imports BE | tests |
|---|---|---|---|---|---|---|
| actions | — | 599 | 0 | — | 1 (backend/src/index.ts) | 0 |
| agent-composition | — | 307 | 0 | — | 1 (backend/src/index.ts) | 0 |
| aieditor | — | 765 | 0 | — | 1 (backend/src/index.ts) | 0 |
| analytics | — | 26 | 0 | — | 1 (backend/src/index.ts) | 0 |
| analytics-bi | — | 257 | 0 | — | 1 (backend/src/index.ts) | 0 |
| apitokens | — | 52 | 0 | — | 1 (backend/src/index.ts) | 0 |
| blocks | — | 406 | 0 | — | 1 (backend/src/index.ts) | 0 |
| brandkit | — | 47 | 0 | — | 1 (backend/src/index.ts) | 0 |
| canvas | — | 157 | 0 | — | 1 (backend/src/index.ts) | 0 |
| codeagent | — | 378 | 0 | — | 1 (backend/src/index.ts) | 0 |
| codemap | — | 732 | 0 | — | 1 (backend/src/index.ts) | 0 |
| data | — | 64 | 0 | — | 1 (backend/src/index.ts) | 0 |
| flow | — | 676 | 0 | — | 1 (backend/src/index.ts) | 0 |
| genimages | — | 149 | 0 | — | 1 (backend/src/index.ts) | 0 |
| genvideos | — | 141 | 0 | — | 1 (backend/src/index.ts) | 0 |
| github | — | 815 | 0 | — | 1 (backend/src/index.ts) | 0 |
| health | — | 82 | 0 | — | 1 (backend/src/index.ts) | 0 |
| hybridsearch | — | 474 | 0 | — | 1 (backend/src/index.ts) | 0 |
| marketplace | — | 315 | 0 | — | 1 (backend/src/index.ts) | 0 |
| meeting-assistant | — | 319 | 0 | — | 1 (backend/src/index.ts) | 0 |
| notes | — | 115 | 0 | — | 1 (backend/src/index.ts) | 0 |
| openaiapi | — | 327 | 0 | — | 1 (backend/src/index.ts) | 0 |
| oracle | — | 334 | 0 | — | 1 (backend/src/index.ts) | 0 |
| plugins | — | 159 | 0 | — | 1 (backend/src/index.ts) | 0 |
| prompts | — | 50 | 0 | — | 1 (backend/src/index.ts) | 0 |
| readurl | — | 194 | 0 | — | 1 (backend/src/index.ts) | 0 |
| sdk-generator | — | 380 | 0 | — | 1 (backend/src/index.ts) | 0 |
| slack-bot | — | 228 | 0 | — | 1 (backend/src/index.ts) | 0 |
| sso | — | 199 | 0 | — | 1 (backend/src/index.ts) | 0 |
| stock | — | 165 | 0 | — | 1 (backend/src/index.ts) | 0 |
| tools | — | 28 | 0 | — | 1 (backend/src/index.ts) | 0 |
| workflows | — | 222 | 0 | — | 1 (backend/src/index.ts) | 0 |
| workspaces | — | 487 | 0 | — | 1 (backend/src/index.ts) | 0 |
| audiointel | — | 297 | 1 | components/chat/ChatWindow.tsx | 1 (backend/src/index.ts) | 0 |
| calendar | — | 112 | 1 | components/calendar/CalendarWorkspace.tsx | 1 (backend/src/index.ts) | 0 |
| career | — | 575 | 1 | components/career/CareerWorkspace.tsx | 1 (backend/src/index.ts) | 0 |
| compare | — | 50 | 1 | components/compare/CompareWorkspace.tsx | 1 (backend/src/index.ts) | 0 |
| editor | — | 384 | 1 | components/research/ResearchWorkspace.tsx | 1 (backend/src/index.ts) | 0 |
| email | — | 233 | 1 | components/email/EmailWorkspace.tsx | 1 (backend/src/index.ts) | 0 |
| factcheck | — | 160 | 1 | components/chat/MessageBubble.tsx | 1 (backend/src/index.ts) | 0 |
| notebooks | — | 525 | 1 | components/notebooks/NotebooksWorkspace.tsx | 1 (backend/src/index.ts) | 0 |
| studio | — | 1072 | 1 | app/studio/page.tsx | 1 (backend/src/index.ts) | 0 |
| research2 | — | 496 | 3 | components/research/ResearchWorkspace.tsx | 1 (backend/src/index.ts) | 0 |
| widget | — | 150 | 3 | settings/widget/page.tsx, app/widget/page.tsx | 1 (backend/src/index.ts) | 0 |
| collaboration | — | 314 | 0 | — | 2 (backend/src/index.ts) | 0 |
| designs | — | 330 | 0 | — | 2 (backend/src/index.ts) | 0 |
| lifecontext | — | 314 | 0 | — | 2 (backend/src/index.ts, src/services/memory.ts) | 0 |
| searchrank | — | 238 | 0 | — | 2 (src/controllers/chatController.ts, backend/src/index.ts) | 0 |
| smartmemory | — | 245 | 0 | — | 2 (src/controllers/chatController.ts, backend/src/index.ts) | 0 |
| webhooks | — | 166 | 0 | — | 2 (backend/src/index.ts, src/services/alerting.ts) | 0 |
| whatsapp | — | 292 | 0 | — | 2 (backend/src/index.ts) | 0 |
| worker | — | 454 | 0 | — | 2 (backend/src/index.ts, src/services/scheduler.ts) | 0 |
| insights | — | 256 | 1 | src/components/SettingsContent.tsx | 2 (src/controllers/chatController.ts, backend/src/index.ts) | 0 |
| voice | — | 279 | 1 | components/voice/VoiceOverlay.tsx | 2 (backend/src/index.ts) | 0 |
| agent-builder | — | 436 | 8 | app/agents/page.tsx, agents/[id]/page.tsx | 1 (backend/src/index.ts) | 0 |
| projects | — | 548 | 9 | components/projects/ProjectsWorkspace.tsx | 1 (backend/src/index.ts) | 0 |
| automations | — | 608 | 10 | components/automations/AutomationsWorkspace.tsx | 2 (backend/src/index.ts, src/services/scheduler.ts) | 0 |
